ind_ID	father_ID	mother_ID	Sex	Phenotype
0	1000	2000	-1	20.235370099563898
1	1001	2001	-1	60.39678303213045
2	1002	2002	-1	8.6191848152516
3	1003	2003	-1	20.210142068467103
4	1004	2004	-1	11.20382441101846
5	1005	2005	-1	9.102309436331534
6	1006	2006	-1	9.010355558844633
7	1007	2007	-1	8.971452207212694
8	1008	2008	-1	9.493350547137185
9	1009	2009	-1	21.71424563096166
10	1010	2010	-1	10.157145601473868
11	1011	2011	-1	9.30249339599727
12	1012	2012	-1	20.516663060302847
13	1013	2013	-1	9.513069472584148
14	1014	2014	-1	119.54258960943633
15	1015	2015	-1	9.104123929569532
16	1016	2016	-1	38.90853599870746
17	1017	2017	-1	10.535281572707751
18	1018	2018	-1	11.543473233695648
19	1019	2019	-1	9.612970443084249
20	1020	2020	-1	9.871961539682843
21	1021	2021	-1	9.69744581554404
22	1022	2022	-1	8.287075088786546
23	1023	2023	-1	8.823993222753707
24	1024	2024	-1	20.017085706298914
25	1025	2025	-1	19.807136911194842
26	1026	2026	-1	29.2867006808756
27	1027	2027	-1	20.110448245126744
28	1028	2028	-1	8.234115672074381
29	1029	2029	-1	10.343038797165274
30	1030	2030	-1	40.40199948899345
31	1031	2031	-1	28.988142900493397
32	1032	2032	-1	9.441256382969827
33	1033	2033	-1	20.683224874011923
34	1034	2034	-1	8.165095935130601
35	1035	2035	-1	21.375167956733367
36	1036	2036	-1	8.014976495372373
37	1037	2037	-1	21.09291767399462
38	1038	2038	-1	19.795244950612968
39	1039	2039	-1	30.496173258955892
40	1040	2040	-1	119.05033808351519
41	1041	2041	-1	39.31532959815551
42	1042	2042	-1	10.09691042054448
43	1043	2043	-1	21.28868115144205
44	1044	2044	-1	20.254226699602196
45	1045	2045	-1	23.294566331799675
46	1046	2046	-1	20.822034095002547
47	1047	2047	-1	20.56894982769902
48	1048	2048	-1	9.574236044303573
49	1049	2049	-1	11.65249551611397
50	1050	2050	-1	30.37179476127218
51	1051	2051	-1	10.234235077808203
52	1052	2052	-1	42.71532857820762
53	1053	2053	-1	20.69340519485162
54	1054	2054	-1	8.714903776769587
55	1055	2055	-1	21.317136175319444
56	1056	2056	-1	9.144594222573023
57	1057	2057	-1	18.933123071380564
58	1058	2058	-1	9.32754908553461
59	1059	2059	-1	19.018705386250833
60	1060	2060	-1	38.25648933075439
61	1061	2061	-1	9.567607510370864
62	1062	2062	-1	9.205943078885896
63	1063	2063	-1	10.8006317195154
64	1064	2064	-1	9.655364401952717
65	1065	2065	-1	11.217461863887081
66	1066	2066	-1	9.923743460892092
67	1067	2067	-1	20.36479174980406
68	1068	2068	-1	20.870120768318625
69	1069	2069	-1	10.536335095834941
70	1070	2070	-1	20.684945806460227
71	1071	2071	-1	10.499867873609562
72	1072	2072	-1	20.061791877410297
73	1073	2073	-1	10.083728366270519
74	1074	2074	-1	21.012267802442437
75	1075	2075	-1	18.856971828077537
